City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Kapaa,40,US,1553287693,61,22.08,-159.32,78.8,12.75
Turukhansk,68,RU,1553287732,86,65.8,87.96,21.19,3.74
Kulu,24,CD,1553287733,75,3.47,23.69,79.15,2.39
Victor Harbor,20,AU,1553287647,88,-35.55,138.62,68,4.7
Cape Town,0,ZA,1553287369,72,-33.93,18.42,68,12.75
Yellowknife,20,CA,1553287456,97,62.45,-114.38,32,18.34
Concepcion del Oro,0,MX,1553287682,35,24.63,-101.42,71.14,4.74
Davila,0,PH,1553287734,95,18.47,120.58,78.25,17.27
Cayenne,75,GF,1553284800,66,4.94,-52.33,86,13.87
Hithadhoo,80,MV,1553287158,100,-0.6,73.08,85.45,5.53
Ngunguru,64,NZ,1553287246,100,-35.62,174.5,67.63,3.18
Rikitea,48,PF,1553287135,98,-23.12,-134.97,79.06,17.72
Albany,90,US,1553286900,97,42.65,-73.75,41,24.16
Lefka,0,GR,1553287495,87,39.1,22.35,46,8.05
Avera,1,US,1553287692,22,33.19,-82.53,71.6,14.99
Busselton,48,AU,1553287544,63,-33.64,115.35,50,17.72
Ilulissat,20,GL,1553284200,32,69.22,-51.1,-5.81,6.93
Chuy,64,UY,1553287136,84,-33.69,-53.46,67.72,5.75
Puerto Ayora,20,EC,1553287633,70,-0.74,-90.35,84.2,9.17
Carnarvon,24,ZA,1553287151,36,-30.97,22.13,58.45,9.22
Hermanus,36,ZA,1553286683,83,-34.42,19.24,66.99,7
San Patricio,0,PY,1553287737,67,-26.98,-56.83,74.38,3.4
Tuktoyaktuk,40,CA,1553284800,77,69.44,-133.03,-0.41,11.41
Pevek,0,RU,1553287154,45,69.7,170.27,-15.18,5.64
Rajapur,0,IN,1553287737,30,25.39,81.15,67,6.98
Provideniya,88,RU,1553287159,100,64.42,-173.23,13.9,19.06
Punta Arenas,40,CL,1553287389,47,-53.16,-70.91,59,11.41
Bolobo,44,CD,1553287738,79,-2.17,16.23,80.95,3.62
Minab,20,IR,1553284800,83,27.15,57.07,69.8,1.12
Innisfail,75,CA,1553287517,56,52.02,-113.95,57,4.7
Ushuaia,75,AR,1553284800,87,-54.81,-68.31,48.2,5.82
Qarqin,68,AF,1553287739,95,37.41,66.03,51.07,2.73
Port Alfred,20,ZA,1553287519,95,-33.59,26.89,66.99,13.02
Qaqortoq,90,GL,1553284200,79,60.72,-46.03,21.2,3.36
Coquimbo,20,CL,1553284800,72,-29.95,-71.34,62.6,14.99
Sitka,56,US,1553287551,69,37.17,-99.65,57,1.99
Fagernes,80,NO,1553287740,84,60.99,9.24,36.4,10.45
Kharp,92,RU,1553287740,78,66.82,65.8,17.05,2.84
Kibala,20,TD,1553287740,40,9.11,18.35,83.29,5.3
Kiunga,76,PG,1553287740,95,-6.12,141.3,72.49,2.73
Bluff,0,AU,1553287164,90,-23.58,149.07,70.24,6.2
Upernavik,32,GL,1553287741,100,72.79,-56.15,-9.96,6.2
Yellandu,0,IN,1553287741,82,17.59,80.32,74.38,3.96
Flagstaff,75,US,1553287579,49,35.2,-111.65,63,4.7
Cabo San Lucas,5,MX,1553287616,57,22.89,-109.91,82,8.05
Vestmannaeyjar,88,IS,1553287742,97,63.44,-20.27,35.86,32.26
Liuzhou,100,CN,1553287742,99,24.32,109.41,52.69,10.45
Qaanaaq,0,GL,1553287156,77,77.48,-69.36,-26.34,11.68
Beira,0,ES,1553287727,93,43.2,-8.36,55.99,3.36
Isangel,92,VU,1553287742,100,-19.55,169.27,78.25,15.37
Saint George,0,GR,1553284200,87,39.45,22.34,42.8,4.7
Avarua,76,CK,1553284800,79,-21.21,-159.78,84.2,8.05
Rabo de Peixe,40,PT,1553287734,82,37.8,-25.58,59,5.82
Lebanon,90,US,1553287706,82,43.64,-72.25,39.2,12.75
